title,variant,price,imgUrl,link,l1,l2,inviteId,modelId,final_1688_link,price judge,update date,itemid,最大价格,tag,共有model数
BASH Gateway 工作日背包,碳,85,https://cf.shopee.ph/file/ph-11134207-81zte-mepf9391mpkw9d,http://shopee.ph/product/1088430172/40766862563,旅行与行李,旅行包,IVCN202603180001,271392938164,https://detail.1688.com/offer/845225392951.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i4&source=action%23offerItem%3Borigin%23cf.shopee.ph&amug_biz=oneself&amug_fl_src=awakeId_982,P0,03-18发布,40766862563,85,,3
BASH Gateway 工作日背包,地球,85,https://cf.shopee.ph/file/ph-11134207-81ztf-mepf8pqa7pq910,http://shopee.ph/product/1088430172/40766862563,旅行与行李,旅行包,IVCN202603180001,271392938165,https://detail.1688.com/offer/845225392951.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i4&source=action%23offerItem%3Borigin%23cf.shopee.ph&amug_biz=oneself&amug_fl_src=awakeId_982,P0,03-18发布,40766862563,85,,3
BASH Gateway 工作日背包,沙丘,85,https://cf.shopee.ph/file/ph-11134207-81ztd-mepf8wf3x0jref,http://shopee.ph/product/1088430172/40766862563,旅行与行李,旅行包,IVCN202603180001,271392938166,https://detail.1688.com/offer/845225392951.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i4&source=action%23offerItem%3Borigin%23cf.shopee.ph&amug_biz=oneself&amug_fl_src=awakeId_982,P0,03-18发布,40766862563,85,,3
BASH Gateway 工作日手提袋,地球,41,https://cf.shopee.ph/file/ph-11134207-81ztf-mepf9xjntkht69,http://shopee.ph/product/1088430172/29140956645,旅行与行李,旅行包,IVCN202603180005,253843376167,https://detail.1688.com/offer/998611008584.html?spm=a26352.b28411319/2508.0.0,P0,03-18发布,29140956645,41,,3
BASH Gateway 工作日手提袋,沙丘,41,https://cf.shopee.ph/file/ph-11134207-81ztc-mepfaa03z56obb,http://shopee.ph/product/1088430172/29140956645,旅行与行李,旅行包,IVCN202603180005,253843376168,https://detail.1688.com/offer/998611008584.html?spm=a26352.b28411319/2508.0.0,P0,03-18发布,29140956645,41,,3
BASH Gateway 工作日手提袋,碳,41,https://cf.shopee.ph/file/ph-11134207-81zto-mepfacjexfr6c4,http://shopee.ph/product/1088430172/29140956645,旅行与行李,旅行包,IVCN202603180005,253843376169,https://detail.1688.com/offer/998611008584.html?spm=a26352.b28411319/2508.0.0,P0,03-18发布,29140956645,41,,3
【泰国现货】便携式充气颈枕，U型旅行枕,灰色的,11.8,https://cf.shopee.co.th/file/sg-11134201-7rfig-m9ue8xgt92704a,http://shopee.co.th/product/1043509864/44151242490,旅行与行李,旅行配件,IVCN202603180009,285099779121,https://detail.1688.com/offer/901835931769.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i4&source=action%23offerItem%3Borigin%23cf.shopee.co.th&amug_biz=oneself&amug_fl_src=awakeId_982,P0,03-18发布,44151242490,11.8,,2
【泰国现货】便携式充气颈枕，U型旅行枕,天空,11.14,https://cf.shopee.co.th/file/sg-11134201-7rfgl-m9ue92itw3to02,http://shopee.co.th/product/1043509864/44151242490,旅行与行李,旅行配件,IVCN202603180009,285099779122,https://detail.1688.com/offer/890742574306.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i3&source=action%23offerItem%3Borigin%23cf.shopee.co.th&amug_biz=oneself&amug_fl_src=awakeId_982,P0,03-18发布,44151242490,11.8,,2
Bostanten 男士真皮钱包，原装拉链，三折设计，附带包装盒,黑色的,10.9,https://cf.shopee.ph/file/cn-11134207-7r98o-lwrzgloa72o503,http://shopee.ph/product/283351053/27203398963,男士包袋,钱包,IVCN202603180012,251060586616,https://detail.1688.com/offer/650367393212.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i7&source=action%23offerItem%3Borigin%23shopee.ph&amug_biz=oneself&amug_fl_src=awakeId_982,P0,03-18发布,27203398963,10.9,,2
Bostanten 男士真皮钱包，原装拉链，三折设计，附带包装盒,深棕色,10.9,https://cf.shopee.ph/file/cn-11134207-7r98o-lwrzgloa8h8lb7,http://shopee.ph/product/283351053/27203398963,男士包袋,钱包,IVCN202603180012,251060586617,https://detail.1688.com/offer/650367393212.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i7&source=action%23offerItem%3Borigin%23shopee.ph&amug_biz=oneself&amug_fl_src=awakeId_982,P0,03-18发布,27203398963,10.9,,2
3D舒适睡眠眼罩，100%遮光，零压力夜间眼罩,2个单位,12,https://cf.shopee.com.br/file/br-11134207-81ztc-mj2fz1kncjcze4,http://shopee.com.br/product/1025202028/58200002120,旅行与行李,旅行配件,IVCN202603180015,209613613569,https://detail.1688.com/offer/1001550152893.html?spm=a26352.b28411319/2508.0.0&cosite=-&tracelog=p4p&_p_isad=1&clickid=4595f2f690784b95b7f98850efddd7e2&sessionid=9b74c0596050084cb86b5323395c8e5e,P0,03-18发布,58200002120,12,,1
Tpartner Safe Pass——带RFID系统的防盗旅行钱包。安全轻便，设有12个隔层，可存放护照、手机和卡片。,黑色的,15.9,https://cf.shopee.co.th/file/th-11134207-81ztd-ml6c2mymregz8a,http://shopee.co.th/product/76171761/40571871883,旅行与行李,旅行配件,IVCN202603180017,261779190252,https://detail.1688.com/offer/717347636742.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i2&source=action%23offerItem%3Borigin%23shopee.co.th&amug_biz=oneself&amug_fl_src=awakeId_982,P0,03-18发布,40571871883,26.86,,4
Tpartner Safe Pass——带RFID系统的防盗旅行钱包。安全轻便，设有12个隔层，可存放护照、手机和卡片。,浅褐色的,15.9,https://cf.shopee.co.th/file/th-11134207-81ztn-mf5b6gnlevigeb,http://shopee.co.th/product/76171761/40571871883,旅行与行李,旅行配件,IVCN202603180017,261779190253,https://detail.1688.com/offer/717347636742.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i2&source=action%23offerItem%3Borigin%23shopee.co.th&amug_biz=oneself&amug_fl_src=awakeId_982,P0,03-18发布,40571871883,26.86,,4
Tpartner Safe Pass——带RFID系统的防盗旅行钱包。安全轻便，设有12个隔层，可存放护照、手机和卡片。,粉色的,15.9,https://cf.shopee.co.th/file/th-11134207-81ztm-mf5b6j8dz6dk34,http://shopee.co.th/product/76171761/40571871883,旅行与行李,旅行配件,IVCN202603180017,261779190254,https://detail.1688.com/offer/717347636742.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i2&source=action%23offerItem%3Borigin%23shopee.co.th&amug_biz=oneself&amug_fl_src=awakeId_982,P0,03-18发布,40571871883,26.86,,4
Tpartner Safe Pass——带RFID系统的防盗旅行钱包。安全轻便，设有12个隔层，可存放护照、手机和卡片。,紫色的,26.86,https://cf.shopee.co.th/file/th-11134207-81zte-mf5b6kz7iwi15f,http://shopee.co.th/product/76171761/40571871883,旅行与行李,旅行配件,IVCN202603180017,261779190255,https://detail.1688.com/offer/858831749317.html?spm=a26352.b28411319/2508.0.0,P0,03-18发布,40571871883,26.86,,4
Simma 100% 硅胶行李箱轮套有 5 种颜色可供选择。,红色，一套 8 件,1.76,https://cf.shopee.co.th/file/th-11134207-7rasc-m7933bmtcyxm2b,http://shopee.co.th/product/53943566/27279300950,旅行与行李,旅行配件,IVCN202603180022,118616789154,https://detail.1688.com/offer/752716615624.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i0&source=action%23offerItem%3Borigin%23cf.shopee.co.th&amug_biz=oneself&amug_fl_src=awakeId_982,P0,03-18发布,27279300950,2,,2
Simma 100% 硅胶行李箱轮套有 5 种颜色可供选择。,绿色，一套 8 件,2,https://cf.shopee.co.th/file/th-11134207-7rasd-m793326x3kgzc1,http://shopee.co.th/product/53943566/27279300950,旅行与行李,旅行配件,IVCN202603180022,227499689137,https://detail.1688.com/offer/856167576554.html?spm=a26352.b28411319.offerlist.6.7bcc1e62Q4vLf6,P0,03-18发布,27279300950,2,,2
KALIDI 单肩包 大号束口袋 抽绳背包 户外防水运动包,靛蓝海军蓝,12.97,https://cf.shopee.ph/file/ph-11134207-81ztc-mi2pp9ko4nie4f,http://shopee.ph/product/693731514/43621301519,旅行与行李,旅行包,IVCN202603180025,157956485031,https://detail.1688.com/offer/927824330065.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i2&source=action%23offerItem%3Borigin%23cf.shopee.ph&amug_biz=oneself&amug_fl_src=awakeId_982,P1,03-18发布,43621301519,12.97,,1
Leonardo 男士真皮钱包，迷你水星横款钱包，采用纹理细腻的泰加皮革，经久耐用，美观大方，适合日常使用，是高端礼品的理想之选。,黑色的,20,https://cf.shopee.vn/file/vn-11134207-820l4-mhsu0l5o4t1g78,http://shopee.vn/product/102568210/28101230247,男士包袋,钱包,IVCN202603180027,292224146830,https://detail.1688.com/offer/679218052453.html?spm=a26352.b28411319/2508.0.0,P1,03-18发布,28101230247,20,,3
Leonardo 男士真皮钱包，迷你水星横款钱包，采用纹理细腻的泰加皮革，经久耐用，美观大方，适合日常使用，是高端礼品的理想之选。,绿色的,19.49,https://cf.shopee.vn/file/vn-11134207-820l4-mich9njauozk18,http://shopee.vn/product/102568210/28101230247,男士包袋,钱包,IVCN202603180027,292224146831,https://detail.1688.com/offer/922099824511.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i22&source=action%23offerItem%3Borigin%23shopee.vn&amug_biz=oneself&amug_fl_src=awakeId_982,P1,03-18发布,28101230247,20,,3
Leonardo 男士真皮钱包，迷你水星横款钱包，采用纹理细腻的泰加皮革，经久耐用，美观大方，适合日常使用，是高端礼品的理想之选。,棕色的,19.49,https://cf.shopee.vn/file/vn-11134207-820l4-mich9skk52iv1b,http://shopee.vn/product/102568210/28101230247,男士包袋,钱包,IVCN202603180027,292224146832,https://detail.1688.com/offer/922099824511.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i22&source=action%23offerItem%3Borigin%23shopee.vn&amug_biz=oneself&amug_fl_src=awakeId_982,P1,03-18发布,28101230247,20,,3
BOSTANTEN 男士短款钱包，大容量，耐用皮革，经典款，真皮，男士礼品。,咖啡,9,https://cf.shopee.co.th/file/d01d79a14630d25cd132face409c982e,http://shopee.co.th/product/240839117/8437956584,男士包袋,钱包,IVCN202603180031,44667029511,https://detail.1688.com/offer/955771837396.html?spm=a26352.b28411319.offerlist.6.3abf1e622sWZPK,P0,03-18发布,8437956584,9,,1
NATOLI 品牌防震笔记本电脑包，各种尺寸齐全，厚实防水，Eager Laptop Bag T7 系列。,黑色，14英寸,4.24,https://cf.shopee.vn/file/vn-11134207-7qukw-lhe5dumeuvhvb4,http://shopee.vn/product/515748887/22832685193,男士包袋,笔记本电脑包,IVCN202603180033,127571217936,https://detail.1688.com/offer/627395200090.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i13&source=action%23offerItem%3Borigin%23cf.shopee.vn&amug_biz=oneself&amug_fl_src=awakeId_982,P1,03-18发布,22832685193,4.32,,4
NATOLI 品牌防震笔记本电脑包，各种尺寸齐全，厚实防水，Eager Laptop Bag T7 系列。,黑色，15.6 英寸,3.92,https://cf.shopee.vn/file/vn-11134207-7qukw-lhe5dumeuvhvb4,http://shopee.vn/product/515748887/22832685193,男士包袋,笔记本电脑包,IVCN202603180033,127571217937,https://detail.1688.com/offer/816387442162.html?spm=a26352.b28411319.offerlist.11.65901e62niLt3A,P1,03-18发布,22832685193,4.32,,4
NATOLI 品牌防震笔记本电脑包，各种尺寸齐全，厚实防水，Eager Laptop Bag T7 系列。,浅灰色，15.6 英寸,4.32,https://cf.shopee.vn/file/vn-11134207-7ras8-m4050qjuy6tj29,http://shopee.vn/product/515748887/22832685193,男士包袋,笔记本电脑包,IVCN202603180033,223611462996,https://detail.1688.com/offer/816387442162.html?spm=a26352.b28411319.offerlist.11.65901e62niLt3A,P1,03-18发布,22832685193,4.32,,4
